card_name,set_id,set_name,card_number,card_market_value,binder_name,page_number,slot_number,index
Nidoran ♂,base4,Base Set 2,83,0.59,2,10,2,2_10_2
Onix,base4,Base Set 2,84,0.83,2,10,3,2_10_3
Paras,base4,Base Set 2,85,0.38,2,10,4,2_10_4
Pidgey,base4,Base Set 2,86,0.55,2,10,5,2_10_5
Pikachu,base4,Base Set 2,87,2.15,2,10,6,2_10_6
Poliwag,base4,Base Set 2,88,0.4,2,10,7,2_10_7
Rattata,base4,Base Set 2,89,0.45,2,10,8,2_10_8
Rhyhorn,base4,Base Set 2,90,0.46,2,10,9,2_10_9
Sandshrew,base4,Base Set 2,91,0.35,2,11,1,2_11_1
Spearow,base4,Base Set 2,92,0.5,2,11,2,2_11_2
Squirtle,base4,Base Set 2,93,1.08,2,11,3,2_11_3
Starmie,base4,Base Set 2,94,0.5,2,11,4,2_11_4
Staryu,base4,Base Set 2,95,0.29,2,11,5,2_11_5
Tangela,base4,Base Set 2,96,0.35,2,11,6,2_11_6
Venonat,base4,Base Set 2,97,0.6,2,11,7,2_11_7
Voltorb,base4,Base Set 2,98,0.53,2,11,8,2_11_8
Vulpix,base4,Base Set 2,99,0.83,2,11,9,2_11_9
Weedle,base4,Base Set 2,100,0.32,2,12,1,2_12_1
Computer Search,base4,Base Set 2,101,2.71,2,12,2,2_12_2
Imposter Professor Oak,base4,Base Set 2,102,2.23,2,12,3,2_12_3
Item Finder,base4,Base Set 2,103,7.47,2,12,4,2_12_4
Lass,base4,Base Set 2,104,2.69,2,12,5,2_12_5
Pokémon Breeder,base4,Base Set 2,105,4.39,2,12,6,2_12_6
Pokémon Trader,base4,Base Set 2,106,3.23,2,12,7,2_12_7
Scoop Up,base4,Base Set 2,107,4.24,2,12,8,2_12_8
Super Energy Removal,base4,Base Set 2,108,2.51,2,12,9,2_12_9
Defender,base4,Base Set 2,109,0.33,2,13,1,2_13_1
Energy Retrieval,base4,Base Set 2,110,0.32,2,13,2,2_13_2
Full Heal,base4,Base Set 2,111,0.37,2,13,3,2_13_3
Maintenance,base4,Base Set 2,112,0.77,2,13,4,2_13_4
PlusPower,base4,Base Set 2,113,0.4,2,13,5,2_13_5
Pokémon Center,base4,Base Set 2,114,0.79,2,13,6,2_13_6
Pokédex,base4,Base Set 2,115,0.46,2,13,7,2_13_7
Professor Oak,base4,Base Set 2,116,1.29,2,13,8,2_13_8
Super Potion,base4,Base Set 2,117,0.32,2,13,9,2_13_9
Bill,base4,Base Set 2,118,0.33,2,14,1,2_14_1
Energy Removal,base4,Base Set 2,119,0.3,2,14,2,2_14_2
Gust of Wind,base4,Base Set 2,120,0.35,2,14,3,2_14_3
Poké Ball,base4,Base Set 2,121,0.31,2,14,4,2_14_4
Potion,base4,Base Set 2,122,0.24,2,14,5,2_14_5
Switch,base4,Base Set 2,123,0.32,2,14,6,2_14_6
Double Colorless Energy,base4,Base Set 2,124,2.28,2,14,7,2_14_7
Fighting Energy,base4,Base Set 2,125,0.29,2,14,8,2_14_8
Fire Energy,base4,Base Set 2,126,0.72,2,14,9,2_14_9
Grass Energy,base4,Base Set 2,127,0.28,2,15,1,2_15_1
Lightning Energy,base4,Base Set 2,128,0.38,2,15,2,2_15_2
Psychic Energy,base4,Base Set 2,129,0.3,2,15,3,2_15_3
Water Energy,base4,Base Set 2,130,0.26,2,15,4,2_15_4
Charizard,base4,Base Set 2,4,304.88,2,15,5,2_15_5
Blastoise,base4,Base Set 2,2,107.85,2,15,6,2_15_6
Venusaur,base4,Base Set 2,18,73.77,2,15,7,2_15_7
Mewtwo,base4,Base Set 2,10,40.96,2,15,8,2_15_8
Zapdos,base4,Base Set 2,20,24.31,2,15,9,2_15_9
Raichu,base4,Base Set 2,16,33.18,2,16,1,2_16_1
Scyther,base4,Base Set 2,17,24.6,2,16,2,2_16_2
Wigglytuff,base4,Base Set 2,19,11.0,2,16,3,2_16_3
Pidgeot,base4,Base Set 2,14,27.41,2,16,4,2_16_4
Nidoqueen,base4,Base Set 2,12,23.02,2,16,5,2_16_5
Nidoking,base4,Base Set 2,11,24.14,2,16,6,2_16_6
Alakazam,base4,Base Set 2,1,37.01,2,16,7,2_16_7
Gyarados,base4,Base Set 2,7,26.94,2,16,8,2_16_8
Chansey,base4,Base Set 2,3,14.71,2,16,9,2_16_9
Clefable,base4,Base Set 2,5,13.97,2,17,1,2_17_1
Pikachu,base4,Base Set 2,87,2.15,2,17,2,2_17_2
Bulbasaur,base4,Base Set 2,67,2.24,2,17,3,2_17_3
Charmander,base4,Base Set 2,69,1.15,2,17,4,2_17_4
Squirtle,base4,Base Set 2,93,1.08,2,17,5,2_17_5
Pidgey,base4,Base Set 2,86,0.55,2,17,6,2_17_6
Rattata,base4,Base Set 2,89,0.45,2,17,7,2_17_7
Clefairy,base4,Base Set 2,6,10.79,2,17,8,2_17_8
Magikarp,base4,Base Set 2,50,0.9,2,17,9,2_17_9
Abra,base4,Base Set 2,65,0.42,2,18,1,2_18_1
Machop,base4,Base Set 2,78,0.42,2,18,2,2_18_2
Magnemite,base4,Base Set 2,79,0.39,2,18,3,2_18_3
Gastly,base4,Base Set 2,75,0.47,2,18,4,2_18_4
Vulpix,base4,Base Set 2,99,0.83,2,18,5,2_18_5
Ponyta,base4,Base Set 2,60,0.59,2,18,6,2_18_6
Weedle,base4,Base Set 2,100,0.32,2,18,7,2_18_7
Caterpie,base4,Base Set 2,68,0.43,2,18,8,2_18_8
Poliwag,base4,Base Set 2,88,0.4,2,18,9,2_18_9
Poliwhirl,base4,Base Set 2,57,0.92,2,19,1,2_19_1
Ivysaur,base4,Base Set 2,44,3.6,2,19,2,2_19_2
Wartortle,base4,Base Set 2,63,1.74,2,19,3,2_19_3
Charmeleon,base4,Base Set 2,35,1.73,2,19,4,2_19_4
Kadabra,base4,Base Set 2,46,1.24,2,19,5,2_19_5
Machoke,base4,Base Set 2,49,0.54,2,19,6,2_19_6
Kakuna,base4,Base Set 2,47,0.71,2,19,7,2_19_7
Metapod,base4,Base Set 2,81,0.43,2,19,8,2_19_8
Dragonair,base4,Base Set 2,22,8.58,2,19,9,2_19_9
Dratini,base4,Base Set 2,38,0.99,2,20,1,2_20_1
Growlithe,base4,Base Set 2,42,1.21,2,20,2,2_20_2
Arcanine,base4,Base Set 2,33,2.1,2,20,3,2_20_3
Electrode,base4,Base Set 2,25,3.87,2,20,4,2_20_4
Electabuzz,base4,Base Set 2,24,3.17,2,20,5,2_20_5
Double Colorless Energy,base4,Base Set 2,124,2.28,2,20,6,2_20_6
Professor Oak,base4,Base Set 2,116,1.29,2,20,7,2_20_7
Bill,base4,Base Set 2,118,0.33,2,20,8,2_20_8
Energy Removal,base4,Base Set 2,119,0.3,2,20,9,2_20_9
Alakazam,base1,Base,1,54.13,1,1,1,1_1_1
Blastoise,base1,Base,2,159.26,1,1,2,1_1_2
Chansey,base1,Base,3,28.48,1,1,3,1_1_3
Charizard,base1,Base,4,458.29,1,1,4,1_1_4
Clefairy,base1,Base,5,26.05,1,1,5,1_1_5
Gyarados,base1,Base,6,34.98,1,1,6,1_1_6
Hitmonchan,base1,Base,7,18.55,1,1,7,1_1_7
Machamp,base1,Base,8,0.0,1,1,8,1_1_8
Magneton,base1,Base,9,20.24,1,1,9,1_1_9
Mewtwo,base1,Base,10,38.91,1,2,1,1_2_1
Nidoking,base1,Base,11,28.8,1,2,2,1_2_2
Ninetales,base1,Base,12,22.93,1,2,3,1_2_3
Poliwrath,base1,Base,13,20.44,1,2,4,1_2_4
Raichu,base1,Base,14,43.69,1,2,5,1_2_5
Venusaur,base1,Base,15,119.17,1,2,6,1_2_6
Zapdos,base1,Base,16,36.66,1,2,7,1_2_7
Beedrill,base1,Base,17,3.97,1,2,8,1_2_8
Dragonair,base1,Base,18,13.13,1,2,9,1_2_9
Dugtrio,base1,Base,19,6.74,1,3,1,1_3_1
Electabuzz,base1,Base,20,7.43,1,3,2,1_3_2
Electrode,base1,Base,21,6.86,1,3,3,1_3_3
Pidgeotto,base1,Base,22,9.42,1,3,4,1_3_4
Arcanine,base1,Base,23,3.0,1,3,5,1_3_5
Charmeleon,base1,Base,24,1.81,1,3,6,1_3_6
Dewgong,base1,Base,25,2.22,1,3,7,1_3_7
Dratini,base1,Base,26,1.66,1,3,8,1_3_8
Farfetch'd,base1,Base,27,0.93,1,3,9,1_3_9
Growlithe,base1,Base,28,0.81,1,4,1,1_4_1
Haunter,base1,Base,29,1.36,1,4,2,1_4_2
Ivysaur,base1,Base,30,2.19,1,4,3,1_4_3
Jynx,base1,Base,31,0.65,1,4,4,1_4_4
Kadabra,base1,Base,32,1.29,1,4,5,1_4_5
Kakuna,base1,Base,33,1.0,1,4,6,1_4_6
Machoke,base1,Base,34,0.65,1,4,7,1_4_7
Magikarp,base1,Base,35,1.95,1,4,8,1_4_8
Magmar,base1,Base,36,2.65,1,4,9,1_4_9
Nidorino,base1,Base,37,1.78,1,5,1,1_5_1
Poliwhirl,base1,Base,38,1.29,1,5,2,1_5_2
Porygon,base1,Base,39,2.15,1,5,3,1_5_3
Raticate,base1,Base,40,2.06,1,5,4,1_5_4
Seel,base1,Base,41,1.07,1,5,5,1_5_5
Wartortle,base1,Base,42,2.47,1,5,6,1_5_6
Abra,base1,Base,43,0.58,1,5,7,1_5_7
Bulbasaur,base1,Base,44,1.68,1,5,8,1_5_8
Caterpie,base1,Base,45,0.82,1,5,9,1_5_9
Charmander,base1,Base,46,1.67,1,6,1,1_6_1
Diglett,base1,Base,47,0.42,1,6,2,1_6_2
Doduo,base1,Base,48,0.92,1,6,3,1_6_3
Drowzee,base1,Base,49,0.42,1,6,4,1_6_4
Gastly,base1,Base,50,0.56,1,6,5,1_6_5
Koffing,base1,Base,51,0.42,1,6,6,1_6_6
Machop,base1,Base,52,0.33,1,6,7,1_6_7
Magnemite,base1,Base,53,0.5,1,6,8,1_6_8
Metapod,base1,Base,54,0.71,1,6,9,1_6_9
Nidoran ♂,base1,Base,55,0.68,1,7,1,1_7_1
Onix,base1,Base,56,0.47,1,7,2,1_7_2
Pidgey,base1,Base,57,0.67,1,7,3,1_7_3
Pikachu,base1,Base,58,3.19,1,7,4,1_7_4
Poliwag,base1,Base,59,0.41,1,7,5,1_7_5
Ponyta,base1,Base,60,0.43,1,7,6,1_7_6
Rattata,base1,Base,61,0.44,1,7,7,1_7_7
Sandshrew,base1,Base,62,0.54,1,7,8,1_7_8
Squirtle,base1,Base,63,2.8,1,7,9,1_7_9
Starmie,base1,Base,64,0.45,1,8,1,1_8_1
Staryu,base1,Base,65,0.36,1,8,2,1_8_2
Tangela,base1,Base,66,0.48,1,8,3,1_8_3
Voltorb,base1,Base,67,1.31,1,8,4,1_8_4
Vulpix,base1,Base,68,0.53,1,8,5,1_8_5
Weedle,base1,Base,69,0.39,1,8,6,1_8_6
Clefairy Doll,base1,Base,70,5.34,1,8,7,1_8_7
Computer Search,base1,Base,71,3.07,1,8,8,1_8_8
Devolution Spray,base1,Base,72,4.6,1,8,9,1_8_9
Impostor Professor Oak,base1,Base,73,5.49,1,9,1,1_9_1
Item Finder,base1,Base,74,8.57,1,9,2,1_9_2
Lass,base1,Base,75,2.37,1,9,3,1_9_3
Pokémon Breeder,base1,Base,76,6.85,1,9,4,1_9_4
Pokémon Trader,base1,Base,77,4.48,1,9,5,1_9_5
Scoop Up,base1,Base,78,7.11,1,9,6,1_9_6
Super Energy Removal,base1,Base,79,3.34,1,9,7,1_9_7
Defender,base1,Base,80,1.28,1,9,8,1_9_8
Energy Retrieval,base1,Base,81,0.61,1,9,9,1_9_9
Full Heal,base1,Base,82,1.37,1,10,1,1_10_1
Maintenance,base1,Base,83,2.11,1,10,2,1_10_2
PlusPower,base1,Base,84,0.57,1,10,3,1_10_3
Pokémon Center,base1,Base,85,1.6,1,10,4,1_10_4
Pokémon Flute,base1,Base,86,2.41,1,10,5,1_10_5
Pokédex,base1,Base,87,0.44,1,10,6,1_10_6
Professor Oak,base1,Base,88,1.08,1,10,7,1_10_7
Revive,base1,Base,89,2.17,1,10,8,1_10_8
Super Potion,base1,Base,90,0.29,1,10,9,1_10_9
Bill,base1,Base,91,0.33,1,11,1,1_11_1
Energy Removal,base1,Base,92,0.37,1,11,2,1_11_2
Gust of Wind,base1,Base,93,0.23,1,11,3,1_11_3
Potion,base1,Base,94,0.2,1,11,4,1_11_4
Switch,base1,Base,95,0.3,1,11,5,1_11_5
Double Colorless Energy,base1,Base,96,5.78,1,11,6,1_11_6
Fighting Energy,base1,Base,97,0.31,1,11,7,1_11_7
Fire Energy,base1,Base,98,0.32,1,11,8,1_11_8
Grass Energy,base1,Base,99,0.28,1,11,9,1_11_9
Lightning Energy,base1,Base,100,0.3,1,12,1,1_12_1
Psychic Energy,base1,Base,101,0.35,1,12,2,1_12_2
Water Energy,base1,Base,102,0.32,1,12,3,1_12_3
Charizard,base1,Base,4,458.29,1,12,4,1_12_4
Blastoise,base1,Base,2,159.26,1,12,5,1_12_5
Venusaur,base1,Base,15,119.17,1,12,6,1_12_6
Mewtwo,base1,Base,10,38.91,1,12,7,1_12_7
Zapdos,base1,Base,16,36.66,1,12,8,1_12_8
Raichu,base1,Base,14,43.69,1,12,9,1_12_9
Alakazam,base1,Base,1,54.13,1,13,1,1_13_1
Chansey,base1,Base,3,28.48,1,13,2,1_13_2
Ninetales,base1,Base,12,22.93,1,13,3,1_13_3
Machamp,base1,Base,8,0.0,1,13,4,1_13_4
Charizard,base1,Base,4,458.29,1,13,5,1_13_5
Mewtwo,base1,Base,10,38.91,1,13,6,1_13_6
Pikachu,base1,Base,58,3.19,1,13,7,1_13_7
Bulbasaur,base1,Base,44,1.68,1,13,8,1_13_8
Charmander,base1,Base,46,1.67,1,13,9,1_13_9
Squirtle,base1,Base,63,2.8,1,14,1,1_14_1
Pidgey,base1,Base,57,0.67,1,14,2,1_14_2
Rattata,base1,Base,61,0.44,1,14,3,1_14_3
Clefairy,base1,Base,5,26.05,1,14,4,1_14_4
Jynx,base1,Base,31,0.65,1,14,5,1_14_5
Magikarp,base1,Base,35,1.95,1,14,6,1_14_6
Abra,base1,Base,43,0.58,1,14,7,1_14_7
Machop,base1,Base,52,0.33,1,14,8,1_14_8
Magnemite,base1,Base,53,0.5,1,14,9,1_14_9
Koffing,base1,Base,51,0.42,1,15,1,1_15_1
Gastly,base1,Base,50,0.56,1,15,2,1_15_2
Vulpix,base1,Base,68,0.53,1,15,3,1_15_3
Ponyta,base1,Base,60,0.43,1,15,4,1_15_4
Drowzee,base1,Base,49,0.42,1,15,5,1_15_5
Diglett,base1,Base,47,0.42,1,15,6,1_15_6
Weedle,base1,Base,69,0.39,1,15,7,1_15_7
Caterpie,base1,Base,45,0.82,1,15,8,1_15_8
Nidoran ♂,base1,Base,55,0.68,1,15,9,1_15_9
Poliwag,base1,Base,59,0.41,1,16,1,1_16_1
Poliwhirl,base1,Base,38,1.29,1,16,2,1_16_2
Ivysaur,base1,Base,30,2.19,1,16,3,1_16_3
Wartortle,base1,Base,42,2.47,1,16,4,1_16_4
Charmeleon,base1,Base,24,1.81,1,16,5,1_16_5
Kadabra,base1,Base,32,1.29,1,16,6,1_16_6
Machoke,base1,Base,34,0.65,1,16,7,1_16_7
Kakuna,base1,Base,33,1.0,1,16,8,1_16_8
Metapod,base1,Base,54,0.71,1,16,9,1_16_9
Dragonair,base1,Base,18,13.13,1,17,1,1_17_1
Dratini,base1,Base,26,1.66,1,17,2,1_17_2
Growlithe,base1,Base,28,0.81,1,17,3,1_17_3
Arcanine,base1,Base,23,3.0,1,17,4,1_17_4
Electrode,base1,Base,21,6.86,1,17,5,1_17_5
Electabuzz,base1,Base,20,7.43,1,17,6,1_17_6
Starmie,base1,Base,64,0.45,1,17,7,1_17_7
Staryu,base1,Base,65,0.36,1,17,8,1_17_8
Double Colorless Energy,base1,Base,96,5.78,1,17,9,1_17_9
Professor Oak,base1,Base,88,1.08,1,18,1,1_18_1
Bill,base1,Base,91,0.33,1,18,2,1_18_2
Energy Removal,base1,Base,92,0.37,1,18,3,1_18_3
Pokédex,base1,Base,87,0.44,1,18,4,1_18_4
Switch,base1,Base,95,0.3,1,18,5,1_18_5
Potion,base1,Base,94,0.2,1,18,6,1_18_6
Super Potion,base1,Base,90,0.29,1,18,7,1_18_7
Pokémon Center,base1,Base,85,1.6,1,18,8,1_18_8
Energy Retrieval,base1,Base,81,0.61,1,18,9,1_18_9
Fire Energy,base1,Base,98,0.32,1,19,1,1_19_1
Lightning Energy,base1,Base,100,0.3,1,19,2,1_19_2
Water Energy,base1,Base,102,0.32,1,19,3,1_19_3
Grass Energy,base1,Base,99,0.28,1,19,4,1_19_4
Psychic Energy,base1,Base,101,0.35,1,19,5,1_19_5
Fighting Energy,base1,Base,97,0.31,1,19,6,1_19_6
Double Colorless Energy,base1,Base,96,5.78,1,19,7,1_19_7
Charizard,base1,Base,4,458.29,1,19,8,1_19_8
Blastoise,base1,Base,2,159.26,1,19,9,1_19_9
Venusaur,base1,Base,15,119.17,1,20,1,1_20_1
Mewtwo,base1,Base,10,38.91,1,20,2,1_20_2
Zapdos,base1,Base,16,36.66,1,20,3,1_20_3
Gyarados,base1,Base,6,34.98,1,20,4,1_20_4
Poliwrath,base1,Base,13,20.44,1,20,5,1_20_5
Nidoking,base1,Base,11,28.8,1,20,6,1_20_6
Hitmonchan,base1,Base,7,18.55,1,20,7,1_20_7
Magneton,base1,Base,9,20.24,1,20,8,1_20_8
Chansey,base1,Base,3,28.48,1,20,9,1_20_9
